stasiun,pm10,so2,co,o3,no2,max,critical,categori
0.0,65.0,18.0,7.0,84.0,13.0,84.0,1.0,2.0
0.0,75.0,17.0,11.0,77.0,15.0,77.0,1.0,2.0
0.0,71.0,18.0,9.0,65.0,11.0,71.0,2.0,2.0
0.0,61.0,19.0,5.0,61.0,11.0,61.0,2.0,2.0
0.0,67.0,20.0,7.0,70.0,12.0,70.0,1.0,2.0
0.0,70.0,23.0,6.0,55.0,16.0,70.0,2.0,2.0
0.0,65.0,19.0,6.0,72.0,12.0,72.0,1.0,2.0
0.0,64.0,18.0,6.0,58.0,14.0,64.0,2.0,2.0
0.0,54.0,15.0,6.0,65.0,12.0,65.0,1.0,2.0
0.0,58.0,18.0,5.0,47.0,11.0,58.0,2.0,2.0
0.0,60.0,20.0,5.0,34.0,10.0,60.0,2.0,2.0
0.0,68.0,19.0,14.0,49.0,17.0,68.0,2.0,2.0
0.0,53.0,16.0,7.0,41.0,12.0,53.0,2.0,2.0
0.0,40.0,16.0,8.0,43.0,16.0,43.0,1.0,1.0
0.0,58.0,18.0,10.0,29.0,12.0,58.0,2.0,2.0
0.0,50.0,19.0,4.0,44.0,10.0,50.0,2.0,1.0
0.0,52.0,16.0,7.0,52.0,10.0,52.0,2.0,2.0
0.0,52.0,17.0,10.0,66.0,13.0,66.0,1.0,2.0
0.0,65.0,18.0,15.0,39.0,18.0,65.0,2.0,2.0
0.0,54.0,17.0,6.0,40.0,13.0,54.0,2.0,2.0
0.0,46.0,18.0,3.0,41.0,9.0,46.0,2.0,1.0
0.0,58.0,21.0,5.0,42.0,11.0,58.0,2.0,2.0
0.0,63.0,22.0,7.0,53.0,13.0,63.0,2.0,2.0
0.0,55.0,18.0,5.0,44.0,11.0,55.0,2.0,2.0
0.0,57.0,20.0,7.0,53.0,14.0,57.0,2.0,2.0
0.0,52.0,20.0,5.0,66.0,11.0,66.0,1.0,2.0
0.0,55.0,18.0,5.0,52.0,11.0,55.0,2.0,2.0
0.0,57.0,19.0,5.0,48.0,16.0,57.0,2.0,2.0
0.0,59.0,20.0,4.0,54.0,8.0,59.0,2.0,2.0
0.0,56.0,19.0,4.0,58.0,6.0,58.0,1.0,2.0
